Rank,State,Rate
1,Massachusetts,200-1
2,District of Columbia,230-1
3,Maine,240-1
4,Vermont,260-1
5,Oklahoma,270-1
6,Oregon,270-1
7,New Mexico,280-1
8,Rhode Island,280-1
9,Alaska,300-1
10,Connecticut,300-1
11,Wyoming,330-1
12,Colorado,350-1
13,California,360-1
14,Washington,380-1
15,New Hampshire,390-1
16,Utah,390-1
17,Montat,400-1
18,Nebraska,410-1
19,New York,420-1
20,Delaware,440-1
21,North Carolina,440-1
22,Hawaii,450-1
23,Michigan,450-1
24,Maryland,470-1
25,Minnesota,490-1
26,Arkansas,520-1
27,Idaho,520-1
28,Kansas,550-1
29,Illinois,560-1
30,Kentucky,560-1
31,Nevada,570-1
32,New Jersey,570-1
33,Pennsylvania,580-1
34,Wisconsin,590-1
35,Missouri,600-1
36,North Dakota,610-1
37,South Dakota,630-1
38,Ohio,640-1
39,South Carolina,650-1
40,Virginia,680-1
41,Florida,690-1
42,Indiana,710-1
43,Tennessee,750-1
44,Arizona,800-1
45,Louisinia,810-1
46,Iowa,830-1
47,Mississippi,830-1
48,Georgia,850-1
49,West Virginia,910-1
50,Texas,990-1
51,Alabama,"1,200-1"
52,National,539:01:00
